Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
135,Juwan Howard,2009,2009,1,39,450,74,145,0,0,23,34,29,72,24,6,5,26,67,171,.510,,.676,11.5,4.4,1.8,0.6,0.2,0.1,howarju01
136,Larry Hughes,2010,2010,1,14,295,35,107,15,42,29,34,7,32,28,12,4,19,17,114,.327,.357,.853,21.1,8.1,2.3,2.0,0.9,0.3,hughela01
137,Cedric Hunter,1992,1992,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.0,0.0,0.0,0.0,0.0,0.0,huntece01
138,Stephen Jackson,2010,2011,2,139,5234,979,2344,239,712,561,702,125,670,499,198,65,442,342,2758,.418,.336,.799,37.7,19.8,4.8,3.6,1.4,0.5,jacksst02
139,Tim James,2001,2001,1,30,197,16,52,1,3,12,14,15,35,8,2,5,8,27,45,.308,.333,.857,6.6,1.5,1.2,0.3,0.1,0.2,jamesti01
140,Al Jefferson,2014,2016,3,185,5641,1431,2891,5,20,371,553,312,1641,338,144,204,226,432,3238,.495,.250,.671,30.5,17.5,8.9,1.8,0.8,1.1,jeffeal01
141,Dontell Jefferson,2009,2009,1,6,84,11,22,1,2,6,9,1,12,9,4,1,6,9,29,.500,.500,.667,14.0,4.8,2.0,1.5,0.7,0.2,jeffedo01
142,DaQuan Jeffries,2025,2025,1,47,1071,118,291,55,164,24,30,37,135,53,26,25,35,99,315,.405,.335,.800,22.8,6.7,2.9,1.1,0.6,0.5,jeffrda01
143,Eddie Johnson,1994,1994,1,73,1460,339,738,59,150,99,127,80,224,125,36,8,84,143,836,.459,.393,.780,20.0,11.5,3.1,1.7,0.5,0.1,johnsed03
144,Larry Johnson,1992,1996,5,377,14635,2858,5759,176,507,1513,1962,1186,3479,1553,296,163,892,890,7405,.496,.347,.771,38.8,19.6,9.2,4.1,0.8,0.4,johnsla02
145,Linton Johnson,2009,2009,1,2,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,6.5,0.0,0.0,0.0,0.0,0.0,johnsli01
