Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
187,JJ Redick,2020,2021,2,91,2157,373,845,231,537,210,232,13,203,159,29,12,100,133,1187,.441,.430,.905,23.7,13.0,2.2,1.7,0.3,0.1,redicjj01
188,Antonio Reeves,2025,2025,1,44,660,113,248,51,129,28,35,18,63,39,21,4,30,40,305,.456,.395,.800,15.0,6.9,1.4,0.9,0.5,0.1,reevean01
189,Josh Richardson,2023,2023,1,23,533,62,148,33,86,16,21,11,56,37,29,9,23,47,173,.419,.384,.762,23.2,7.5,2.4,1.6,1.3,0.4,richajo01
190,Austin Rivers,2013,2015,3,165,3529,423,1086,78,235,222,352,54,306,374,89,25,181,321,1146,.390,.332,.631,21.4,6.9,1.9,2.3,0.5,0.2,riverau01
191,Brian Roberts,2013,2014,2,150,2991,457,1092,123,331,195,210,34,233,453,80,10,166,240,1232,.418,.372,.929,19.9,8.2,1.6,3.0,0.5,0.1,roberbr01
192,Nate Robinson,2016,2016,1,2,23,0,1,0,1,0,0,0,0,4,1,0,0,5,0,.000,.000,,11.5,0.0,0.0,2.0,0.5,0.0,robinna01
193,Jeremiah Robinson-Earl,2024,2025,2,105,1573,203,442,69,203,58,71,133,391,109,49,11,67,103,533,.459,.340,.817,15.0,5.1,3.7,1.0,0.5,0.1,robinje02
194,Rodney Rogers,2005,2005,1,30,882,109,289,25,92,32,42,28,142,60,19,12,66,103,275,.377,.272,.762,29.4,9.2,4.7,2.0,0.6,0.4,rogerro01
195,Rajon Rondo,2018,2018,1,65,1705,231,494,50,150,25,46,31,263,533,70,10,151,119,537,.468,.333,.543,26.2,8.3,4.0,8.2,1.1,0.2,rondora01
196,Sean Rooks,2004,2004,1,35,325,34,94,0,0,12,15,10,50,11,9,5,15,48,80,.362,,.800,9.3,2.3,1.4,0.3,0.3,0.1,rooksse01
197,Matt Ryan,2024,2024,1,28,390,49,113,41,91,13,14,6,40,18,6,1,19,32,152,.434,.451,.929,13.9,5.4,1.4,0.6,0.2,0.0,ryanma01
198,John Salmons,2015,2015,1,21,270,16,48,8,26,2,4,4,21,13,9,4,5,25,42,.333,.308,.500,12.9,2.0,1.0,0.6,0.4,0.2,salmojo01
199,Tomáš Satoranský,2022,2022,1,32,481,32,107,5,31,19,25,18,64,76,14,1,23,33,88,.299,.161,.760,15.0,2.8,2.0,2.4,0.4,0.0,satorto01
200,Dereon Seabron,2023,2024,2,11,67,6,18,1,2,5,6,2,8,5,2,1,0,5,18,.333,.500,.833,6.1,1.6,0.7,0.5,0.2,0.1,seabrde01
