Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
14,Greg Anderson,1991,1992,2,123,3452,474,1047,0,4,211,355,404,1178,90,113,101,262,370,1159,.453,.000,.594,28.1,9.4,9.6,0.7,0.9,0.8,andergr01
15,Richard Anderson,1984,1984,1,78,1380,272,638,3,19,116,150,136,406,193,46,28,109,183,663,.426,.158,.773,17.7,8.5,5.2,2.5,0.6,0.4,anderri01
16,Carmelo Anthony,2004,2011,8,564,20521,4989,10877,410,1320,3582,4462,1102,3566,1729,634,260,1726,1693,13970,.459,.311,.803,36.4,24.8,6.3,3.1,1.1,0.5,anthoca01
17,Carlos Arroyo,2002,2002,1,20,275,36,82,0,2,9,12,9,28,49,5,1,11,18,81,.439,.000,.750,13.8,4.1,1.4,2.5,0.3,0.1,arroyca01
18,Darrell Arthur,2014,2018,5,256,4445,655,1545,156,431,160,199,219,801,265,167,145,222,614,1626,.424,.362,.804,17.4,6.4,3.1,1.0,0.7,0.6,arthuda01
19,Vincent Askew,1997,1997,1,1,9,2,3,0,0,2,2,0,0,0,0,0,4,0,6,.667,,1.000,9.0,6.0,0.0,0.0,0.0,0.0,askewvi01
20,Chucky Atkins,2008,2009,2,38,467,51,149,30,96,8,13,3,37,75,11,2,20,32,140,.342,.313,.615,12.3,3.7,1.0,2.0,0.3,0.1,atkinch01
21,D.J. Augustin,2016,2016,1,28,659,102,229,44,107,77,94,3,52,132,25,2,54,44,325,.445,.411,.819,23.5,11.6,1.9,4.7,0.9,0.1,augusdj01
22,Renaldo Balkman,2009,2011,3,71,915,121,224,2,14,47,75,91,230,43,58,27,41,125,291,.540,.143,.627,12.9,4.1,3.2,0.6,0.8,0.4,balkmre01
23,John Barnhill,1971,1971,1,24,684,101,255,18,72,54,73,20,54,77,,,40,55,274,.396,.250,.740,28.5,11.4,2.3,3.2,,,barnhjo01
24,Jon Barry,2004,2004,1,57,1101,120,297,51,138,60,71,25,123,147,57,8,53,66,351,.404,.370,.845,19.3,6.2,2.2,2.6,1.0,0.1,barryjo01
25,Will Barton,2015,2022,8,479,14542,2465,5632,804,2220,961,1218,401,2402,1587,419,239,805,887,6695,.438,.362,.789,30.4,14.0,5.0,3.3,0.9,0.5,bartowi01
26,Mengke Bateer,2002,2002,1,27,408,53,132,4,12,29,37,32,96,22,10,5,32,94,139,.402,.333,.784,15.1,5.1,3.6,0.8,0.4,0.2,bateeme01
27,Keita Bates-Diop,2020,2020,1,7,98,13,28,3,9,8,10,4,17,0,2,4,3,7,37,.464,.333,.800,14.0,5.3,2.4,0.0,0.3,0.6,bateske01
28,Tony Battie,1998,1998,1,65,1506,234,525,3,14,73,104,138,351,60,54,69,98,199,544,.446,.214,.702,23.2,8.4,5.4,0.9,0.8,1.1,battito01
29,Kenny Battle,1991,1991,1,40,682,95,196,3,22,50,64,62,123,47,41,12,36,83,243,.485,.136,.781,17.1,6.1,3.1,1.2,1.0,0.3,battlke01
30,Malik Beasley,2017,2020,4,206,3373,572,1289,258,676,119,147,63,365,187,108,23,123,212,1521,.444,.382,.810,16.4,7.4,1.8,0.9,0.5,0.1,beaslma01
31,Byron Beck,1968,1977,10,747,19197,3681,7295,13,44,1228,1515,1786,5261,978,220,55,933,2267,8603,.505,,.811,25.7,11.5,7.0,1.3,0.6,0.1,beckby01
32,Art Becker,1971,1972,2,113,2996,618,1319,1,5,238,282,247,680,144,,,168,378,1475,.469,.200,.844,26.5,13.1,6.0,1.3,,,beckear01
33,Elmer Bennett,1997,1997,1,5,59,4,13,2,6,2,4,0,3,7,2,0,10,6,12,.308,.333,.500,11.8,2.4,0.6,1.4,0.4,0.0,benneel01
34,Chauncey Billups,1999,2011,5,259,8648,1265,3053,514,1311,1334,1463,100,712,1383,292,54,601,547,4378,.414,.392,.912,33.4,16.9,2.7,5.3,1.1,0.2,billuch01
35,Steve Blake,2007,2007,1,49,1642,164,380,48,140,32,44,14,124,324,51,5,101,72,408,.432,.343,.727,33.5,8.3,2.5,6.6,1.0,0.1,blakest01
36,Mark Blount,2003,2003,1,54,885,105,267,0,0,71,99,62,183,35,22,51,70,112,281,.393,,.717,16.4,5.2,3.4,0.6,0.4,0.9,blounma01
37,Bol Bol,2020,2022,3,53,328,54,113,14,37,20,30,9,63,18,6,18,27,29,142,.478,.378,.667,6.2,2.7,1.2,0.3,0.1,0.3,bolbo01
