Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
26,Mike Bantom,1977,1977,1,33,1114,224,474,,,166,226,101,285,50,28,28,,120,614,.473,,.735,33.8,18.6,8.6,1.5,0.8,0.8,bantomi01
27,Andrea Bargnani,2016,2016,1,46,634,127,279,3,16,47,57,28,97,18,4,9,26,61,304,.455,.188,.825,13.8,6.6,2.1,0.4,0.1,0.2,bargnan01
28,Rick Barry,1971,1972,2,139,6118,1534,3317,92,323,1092,1237,260,1003,621,,,465,466,4252,.462,.285,.883,44.0,30.6,7.2,4.5,,,barryri01
29,Tim Bassett,1976,1980,5,314,7306,739,1854,1,6,306,515,683,2012,340,253,156,284,907,1785,.399,,.594,23.3,5.7,6.4,1.1,0.8,0.5,basseti01
30,Keita Bates-Diop,2024,2024,1,14,68,8,16,1,5,6,6,1,9,4,3,2,2,2,23,.500,.200,1.000,4.9,1.6,0.6,0.3,0.2,0.1,bateske01
31,Tony Battie,2010,2010,1,15,134,14,40,1,4,7,10,4,23,3,4,2,3,19,36,.350,.250,.700,8.9,2.4,1.5,0.2,0.3,0.1,battito01
32,Johnny Baum,1972,1973,2,119,1622,324,608,0,2,148,195,129,336,48,,,100,174,796,.533,.000,.759,13.6,6.7,2.8,0.4,,,baumjo01
33,Al Beard,1968,1968,1,12,118,12,23,0,0,6,11,,46,0,,,12,29,30,.522,,.545,9.8,2.5,3.8,0.0,,,beardal01
34,Art Becker,1973,1973,1,8,46,9,16,0,1,5,5,1,6,1,,,1,3,23,.563,.000,1.000,5.8,2.9,0.8,0.1,,,beckear01
35,Reece Beekman,2025,2025,1,34,465,34,106,7,40,16,21,12,38,62,32,2,21,35,91,.321,.175,.762,13.7,2.7,1.1,1.8,0.9,0.1,beekmre01
36,DeAndre' Bembry,2022,2022,1,48,949,121,213,15,36,21,35,38,152,60,47,25,30,104,278,.568,.417,.600,19.8,5.8,3.2,1.3,1.0,0.5,bembrde01
37,Benoit Benjamin,1994,1995,2,138,3415,554,1120,0,0,285,389,229,939,82,58,154,222,349,1393,.495,,.733,24.7,10.1,6.8,0.6,0.4,1.1,benjabe01
38,Anthony Bennett,2017,2017,1,23,264,38,92,13,48,26,36,25,78,12,5,3,12,18,115,.413,.271,.722,11.5,5.0,3.4,0.5,0.2,0.1,bennean01
39,David Benoit,1998,1998,1,53,799,102,269,41,119,37,44,42,141,17,26,16,39,120,282,.379,.345,.841,15.1,5.3,2.7,0.3,0.5,0.3,benoida01
40,Walter Berry,1989,1989,1,29,556,108,231,0,0,43,63,32,115,20,10,13,40,69,259,.468,,.683,19.2,8.9,4.0,0.7,0.3,0.4,berrywa01
41,Travis Best,2005,2005,1,76,1461,190,452,26,85,108,122,19,107,143,66,9,67,148,514,.420,.306,.885,19.2,6.8,1.4,1.9,0.9,0.1,besttr01
42,Otis Birdsong,1982,1988,7,375,11324,2627,5263,28,105,686,1161,381,941,1361,427,73,782,941,5968,.499,.267,.591,30.2,15.9,2.5,3.6,1.1,0.2,birdsot01
43,Andray Blatche,2013,2014,2,155,3173,667,1350,18,76,312,437,281,807,197,161,92,233,329,1664,.494,.237,.714,20.5,10.7,5.2,1.3,1.0,0.6,blatcan01
44,Mookie Blaylock,1990,1992,3,194,6400,1073,2603,44,225,328,434,210,658,1143,421,94,470,472,2518,.412,.196,.756,33.0,13.0,3.4,5.9,2.2,0.5,blaylmo01
45,Keith Bogans,2012,2013,2,79,1502,116,305,87,257,13,22,21,131,79,30,4,52,123,332,.380,.339,.591,19.0,4.2,1.7,1.0,0.4,0.1,boganke01
46,Bojan Bogdanović,2015,2017,3,212,5451,854,1936,319,871,343,405,109,665,257,87,17,286,322,2370,.441,.366,.847,25.7,11.2,3.1,1.2,0.4,0.1,bogdabo02
47,Trevor Booker,2017,2018,2,89,2149,382,741,28,90,98,153,181,690,176,83,33,157,195,890,.516,.311,.641,24.1,10.0,7.8,2.0,0.9,0.4,booketr01
48,Josh Boone,2007,2010,4,256,4482,567,1042,0,0,206,463,484,1258,125,99,178,169,466,1340,.544,,.445,17.5,5.2,4.9,0.5,0.4,0.7,boonejo01
49,Tommie Bowens,1969,1969,1,76,1550,186,453,0,3,83,128,159,455,52,,,111,236,455,.411,.000,.648,20.4,6.0,6.0,0.7,,,bowento01
50,Sam Bowie,1990,1993,4,280,8394,1369,3142,24,84,816,1071,743,2304,551,154,459,536,824,3578,.436,.286,.762,30.0,12.8,8.2,2.0,0.6,1.6,bowiesa01
51,Earl Boykins,1999,1999,1,5,51,10,21,1,5,0,0,1,4,6,1,0,7,3,21,.476,.200,,10.2,4.2,0.8,1.2,0.2,0.0,boykiea01
52,Winford Boynes,1979,1980,2,133,2278,477,1062,0,4,237,305,111,288,170,102,26,215,249,1191,.449,,.777,17.1,9.0,2.2,1.3,0.8,0.2,boynewi01
53,Dudley Bradley,1988,1988,1,63,1432,156,364,37,101,74,97,25,126,150,114,43,88,170,423,.429,.366,.763,22.7,6.7,2.0,2.4,1.8,0.7,bradldu01
54,Shawn Bradley,1996,1997,2,107,3223,543,1232,1,9,231,343,305,857,75,64,410,212,366,1318,.441,.111,.673,30.1,12.3,8.0,0.7,0.6,3.8,bradlsh01
55,Adrian Branch,1988,1988,1,20,308,56,134,1,5,20,23,20,48,16,16,11,29,41,133,.418,.200,.870,15.4,6.7,2.4,0.8,0.8,0.6,brancad01
56,Ron Brewer,1985,1985,1,11,245,49,84,0,2,16,18,8,18,11,5,5,5,15,114,.583,.000,.889,22.3,10.4,1.6,1.0,0.5,0.5,brewero01
57,Mikal Bridges,2023,2024,2,109,3777,803,1797,288,773,418,496,91,493,371,107,46,213,160,2312,.447,.373,.843,34.7,21.2,4.5,3.4,1.0,0.4,bridgmi01
58,Armoni Brooks,2024,2024,1,10,104,15,46,11,32,1,2,7,18,5,1,1,3,3,42,.326,.344,.500,10.4,4.2,1.8,0.5,0.1,0.1,brookar01
59,MarShon Brooks,2012,2013,2,129,2560,429,975,62,205,182,242,102,304,207,86,31,187,209,1102,.440,.302,.752,19.8,8.5,2.4,1.6,0.7,0.2,brookma01
